,check_number,session_start,sex,row_number,liters_drunk,drink,label,age_0,age_18,age_50,morning,day,evening
0,6729,2021-10-20 08:42:00,Ж,41.0,2,1,0,0,0,1,1,0,0
1,6982,2021-10-20 15:30:00,Не указан,17.0,1,1,1,0,1,0,0,1,0
2,8219,2021-10-20 14:15:00,Не указан,95.0,5,1,0,0,0,1,0,1,0
3,6116,2021-10-20 15:00:00,м,6.0,0,0,1,0,0,1,0,1,0
4,7707,2021-10-20 08:42:00,M,86.0,2,0,0,0,0,1,1,0,0
5,1032,2021-10-20 21:00:00,-,27.0,4,0,1,0,0,1,0,0,1
6,9219,2021-10-20 21:00:00,м,98.0,4,0,1,1,0,0,0,0,1
7,183,2021-10-20 22:30:00,Ж,35.0,5,1,1,0,0,1,0,0,1
8,6775,2021-10-20 06:00:00,м,83.0,3,1,0,0,0,1,1,0,0
9,7098,2021-10-20 06:00:00,M,70.0,4,0,0,0,0,1,1,0,0
10,4923,2021-10-20 21:00:00,ж,62.0,0,1,1,0,0,1,0,0,1
11,1222,2021-10-20 15:30:00,м,60.0,5,1,1,0,0,1,0,1,0
12,4997,2021-10-20 21:00:00,M,1.0,0,1,1,0,1,0,0,0,1
13,2678,2021-10-20 08:42:00,ж,9.0,1,1,0,0,0,1,1,0,0
14,1592,2021-10-20 07:00:00,м,27.0,5,0,0,0,1,0,1,0,0
15,819,2021-10-20 21:00:00,Ж,13.0,1,0,1,0,1,0,0,0,1
16,6079,2021-10-20 22:30:00,ж,98.0,0,0,1,1,0,0,0,0,1
17,3944,2021-10-20 22:30:00,M,51.0,2,0,1,1,0,0,0,0,1
18,2409,2021-10-20 06:15:00,-,27.0,1,0,0,0,0,1,1,0,0
19,6916,2021-10-20 21:00:00,-,50.0,3,0,1,0,1,0,0,0,1
20,3369,2021-10-20 08:42:00,м,25.0,3,0,0,0,1,0,1,0,0
21,2798,2021-10-20 23:42:00,-,3.0,1,0,1,0,1,0,0,0,1
22,3649,2021-10-20 07:30:00,м,73.0,5,0,0,0,0,1,1,0,0
23,2851,2021-10-20 23:42:00,Ж,21.0,5,0,1,0,1,0,0,0,1
24,5530,2021-10-20 08:42:00,м,33.0,5,0,1,1,0,0,1,0,0
25,9069,2021-10-20 23:42:00,-,53.0,5,0,1,0,0,1,0,0,1
26,9312,2021-10-20 15:30:00,Не указан,53.0,0,0,1,0,0,1,0,1,0
27,2922,2021-10-20 07:00:00,Ж,95.0,1,1,0,0,0,1,1,0,0
28,6942,2021-10-20 22:30:00,ж,18.0,1,0,1,0,1,0,0,0,1
29,972,2021-10-20 21:00:00,Ж,43.0,2,0,1,1,0,0,0,0,1
30,4757,2021-10-20 23:42:00,Не указан,8.0,5,0,1,0,0,1,0,0,1
31,5009,2021-10-20 14:00:00,Ж,25.0,4,1,0,0,0,1,0,1,0
32,2674,2021-10-20 22:30:00,M,41.0,1,0,1,0,1,0,0,0,1
33,1987,2021-10-20 07:30:00,ж,29.0,4,1,1,0,1,0,1,0,0
34,7989,2021-10-20 23:42:00,ж,,40984751,0,1,0,1,0,0,0,1
35,2647,2021-10-20 15:00:00,м,17.0,4,1,1,0,1,0,0,1,0
36,4501,2021-10-20 14:15:00,-,80.0,3,1,0,0,0,1,0,1,0
37,3145,2021-10-20 23:42:00,м,49.0,3,1,1,0,1,0,0,0,1
38,9122,2021-10-20 21:00:00,M,38.0,0,1,1,0,0,1,0,0,1
39,7286,2021-10-20 22:15:00,M,19.0,1,1,1,0,0,1,0,0,1
40,292,2021-10-20 14:15:00,-,25.0,2,1,0,0,1,0,0,1,0
41,3551,2021-10-20 07:30:00,м,21.0,5,0,0,0,1,0,1,0,0
42,4145,2021-10-20 23:42:00,м,37.0,4,0,1,0,1,0,0,0,1
43,1783,2021-10-20 08:42:00,Не указан,8.0,1,1,0,0,1,0,1,0,0
