 sex row_number liters_drunk age drink check_number label
0 Ж  -2 77 Bugbeer 9774 1
1 "Не указан" 42.0 4 69 Bugbeer 7907 0
2 Ж 84.0 1 55 "Strong beer" 963 0
3 - 27.0 4 11 Cola 3137 1
4 M 86.0 3 70 Cola 9246 0
5 "Не указан" 38.0 2 69 Water 1667 1
6 м 65.0 2 76 Water 7312 1
7 M 1.0 1 45 Bugbeer 2672 1
8 -  1 62 Beerbeer 2873 1
9 Ж 20.0 0 40 Fanta 3869 0
10 ж 91.0 5 10 Water 5657 1
11 м 100.0 2 27 Bugbeer 902 0
12 Ж 66.0 4 60 "Strong beer" 4344 0
13 Ж 37.0 -1 76 Beerbeer 2262 0
14 ж 91.0 1 39 Fanta 8948 1
15 "Не указан" 31.0 3 37 "Strong beer" 631 0
16 ж 85.0 5 35 Beerbeer 2411 1
17 ж 2.0 0 13 Water 9038 0
18 "Не указан" 41.0 2 15 Water 2173 0
19 ж 79.0 5 48 Cola 1152 0
20 м 11.0 4 69 Bugbeer 5774 1
21 "Не указан" 35.0 0 80 "Strong beer" 4772 0
22 - 48.0 3 13 Fanta 1645 1
23 ж 55.0 4 69 Fanta 1988 0
24 м 47.0 2 80 Fanta 4165 1
25 - 67.0 4 69 "Strong beer" 4036 0
26 M 6.0 -6 61 Beerbeer 9473 1
27 M 25.0 2 47 Fanta 6868 1
28 - 94.0 0 43 "Strong beer" 7484 0
29 M  1 30 Water 8065 1
30 - 59.0 1 52 Cola 4090 1
31 - 37.0 2 37 "Strong beer" 1424 1
32 M  0 75 "Strong beer" 4708 1
33 м 28.0 4 61 "Strong beer" 5509 0
34 ж  1 14 Cola 5620 0
35 "Не указан" 22.0 4 51 "Strong beer" 1924 0
36 Ж 55.0 1 30 Water 1318 0
37 Ж 97.0 3 21 Fanta 2526 0
38 - 49.0 4 40 "Strong beer" 8762 1
39 - 26.0 1 11 Cola 5733 1
40 Ж 87.0 0 53 Bugbeer 9814 0
41 ж  5 13 Water 5504 1
42 - 31.0 2 12 Water 2560 0
43 м 62.0 4 68 Water 8984 1
44 ж 59.0 68618144 61 Water 3342 0
45 Ж 40.0 97890734 62 Cola 9039 1
46 "Не указан" 24.0 0 40 Beerbeer 2546 1
47 ж 77.0 -3 16 Cola 1477 1
48 м 5.0 5 39 Water 457 0
49 - 79.0 3 39 "Strong beer" 948 1
50 "Не указан"  4 32 Cola 878 1
51 ж 34.0 1 17 Water 2807 0
52 "Не указан" 89.0 4 29 Fanta 270 1
53 ж 66.0 1 69 Fanta 1146 0
54 ж 11.0 0 65 Cola 6192 0
55 "Не указан" 72.0 1 71 Fanta 3216 1
56 ж 100.0 4 67 "Strong beer" 5672 1
57 "Не указан" 100.0 3 24 "Strong beer" 2929 1
58 м 16.0 3 67 "Strong beer" 694 1
59 M 100.0 1 35 Cola 4023 1
60 ж 18.0 5 39 Fanta 2289 0
61 "Не указан" 24.0 1 13 Water 4851 0
62 "Не указан" 79.0 5 34 Cola 3125 1
63 M 83.0 2 48 Beerbeer 659 0
64 ж 20.0 3 76 Water 2707 0
65 Ж 78.0 1 63 "Strong beer" 2073 1
66 м 34.0 5 44 "Strong beer" 5405 1
67 Ж 87.0 3 69 "Strong beer" 9865 0
68 - 95.0 1 52 Bugbeer 3929 1
69 ж 100.0 4 14 Fanta 589 1
70 м 16.0 2 22 "Strong beer" 1799 1
71 - 67.0 4 68 Beerbeer 3936 0
72 Ж 66.0 0 14 Fanta 9490 0
73 M 21.0 2 47 Water 3607 1
74 - 62.0 1 64 Cola 3362 1
75 ж 67.0 5 48 Fanta 9377 1
76 - 86.0 3 45 "Strong beer" 301 0
77 M 67.0 2 31 Beerbeer 6885 0
78 M 25.0 5 21 Fanta 6546 1
79 - 89.0 2 45 Fanta 164 0
80 ж 33.0 3 30 Water 7559 0
81 - 6.0 5 57 Bugbeer 2889 1
82 - 76.0 3 48 Water 3020 0
83 M 15.0 1 72 "Strong beer" 3307 1
84 Ж 6.0 -3 17 Cola 2199 1
85 м 70.0 40523873 34 Water 1019 0
86 "Не указан" 92.0 5 78 Fanta 7525 1
87 M 41.0 1 29 "Strong beer" 4273 0
88 м 44.0 1 27 Fanta 3536 1
89 "Не указан" 31.0 3 33 Bugbeer 1471 1
90 ж 78.0 2 47 Bugbeer 6836 1
91 M 29.0 0 75 Water 2545 0
92 - 65.0 0 55 "Strong beer" 8213 0
93 м 45.0 12818469 25 Fanta 1870 1
94 м 12.0 0 61 Bugbeer 8655 1
95 Ж 52.0 0 58 Beerbeer 4095 0
96 Ж 68.0 2 27 "Strong beer" 6227 1
97 M 74.0 4 57 Fanta 1867 0
98 ж 87.0 2 20 Cola 4635 0
99 м 8.0 2 17 Water 8142 0
100 "не указан" 0.0 1 42 Cola 2245 1
101 M 6.0 3 32 Beerbeer 4117 1
102 Ж  14059438 37 "Strong beer" 8372 0
103 ж 6.0 2 76 Water 2660 1
104 м 66.0 0 73 "Strong beer" 3286 0
105 ж 58.0 54599248 70 Fanta 1087 0
106 Ж 5.0 4 22 Cola 641 1
107 м 32.0 2 29 "Strong beer" 6515 1
108 Ж 7.0 0 13 Cola 4932 0
109 "Не указан" 23.0 2 13 Water 8092 0
110 Ж 77.0 0 73 Water 9093 0
111 Ж 43.0 2 13 Water 972 1
112 M 41.0 2 36 Bugbeer 2835 0
113 Ж 14.0 4 36 "Strong beer" 2728 1
114 -  77271358 33 Bugbeer 9530 1
115 Ж 24.0 3 18 Cola 9516 1
116 м 21.0 4 48 "Strong beer" 9967 1
117 м 13.0 4 25 "Strong beer" 1565 1
118 M 0.0 5 37 Water 2995 0
119 м 61.0 0 44 "Strong beer" 7374 0
120 Ж  4 38 Bugbeer 7547 1
121 M 97.0 3 52 "Strong beer" 9588 1
122 - 23.0 3 47 Bugbeer 7401 1
123 Мужчина 65.0 1 46 "Strong beer" 7293 1
124 ж 48.0 1 66 Beerbeer 9739 1
125 - 14.0 1 29 Fanta 3782 0
126 "Не указан" 93.0 3 73 Water 1666 1
127 ж  2 75 Beerbeer 4416 1
128 ж 65.0 1 76 Beerbeer 9083 0
129 м 57.0 4 46 Bugbeer 2363 1
130 - 71.0 60460455 15 Cola 9311 1
131 м 5.0 3 66 Beerbeer 999 0
132 ж 13.0 1 57 Bugbeer 2443 0
133 Ж 97.0 2 24 Fanta 9332 1
134 Ж  5 67 Beerbeer 9388 1
135 "Не указан" 99.0 3 46 Beerbeer 3295 1
136 M 99.0 36927099 16 Water 2630 0
137 "Не указан" 39.0 3 44 Fanta 157 1
138 Ж 74.0 3 79 Cola 8457 0
139 M 97.0 5 54 Beerbeer 3624 1
140 м 65.0 0 56 Cola 4398 0
141 "Не указан" 63.0 38600804 35 Fanta 2260 0
142 Ж  0 28 Water 4134 0
143 м 44.0 1 36 Beerbeer 9123 0
144 - 19.0 0 57 Cola 4266 0
145 Ж 100.0 2 42 "Strong beer" 1939 0
146 Ж 33.0 5 38 "Strong beer" 6185 1
147 м 36.0 3 68 Cola 3529 0
148 м 60.0 94124038 68 Beerbeer 124 1
149 M 33.0 4 26 Cola 1352 0
150 - 65.0 3 65 Cola 7709 1
151 ж 41.0 3 70 Fanta 5442 0
152 - 13.0 3 55 Bugbeer 3394 0
153 "Не указан" 71.0 1 26 Fanta 2534 0
154 M 38.0 2 62 Fanta 1171 0
155 M 91.0 0 35 Cola 5691 0
156 м 2.0 0 46 "Strong beer" 2799 0
157 Ж 31.0 0 48 Water 7223 0
158 м 42.0 5 51 Bugbeer 2797 0
159 - 50.0 0 61 Cola 7669 0
160 ж 57.0 3 63 Water 1779 0
161 Ж 88.0 5 43 Water 3189 1
162 ж 79.0 3 33 Fanta 5718 0
163 - 5.0 5 11 Water 6858 1
164 Ж 77.0 4 16 Water 4948 1
165 ж  5 73 Fanta 1315 0
166 "Не указан" 60.0 0 70 Bugbeer 6596 1
167 - 16.0 97630882 37 Cola 4418 1
168 ж 18.0 0 21 Water 4614 1
169 ж 77.0 3 27 "Strong beer" 3332 1
170 - 0.0 4 64 Beerbeer 7646 1
171 ж 88.0 4 30 "Strong beer" 6162 1
172 "Не указан" 55.0 5 31 Beerbeer 8140 1
173 м 20.0 4 79 Bugbeer 5563 0
174 ж 60.0 3 68 Bugbeer 7692 1
175 ж 95.0 -3 54 "Strong beer" 4402 1
176 "Не указан" 11.0 3 22 Cola 7214 1
177 - 48.0 5 26 Water 8610 1
178 M 31.0 4 12 Cola 843 1
179 Ж 78.0 4 25 "Strong beer" 2316 1
180 Ж 15.0 3 33 Beerbeer 8265 0
181 Ж 35.0 0 24 Cola 5531 1
182 M 97.0 0 60 Beerbeer 2685 1
183 Ж 33.0 4 36 "Strong beer" 4904 1
184 м 39.0 0 46 Cola 9606 1
185 -  1 60 Bugbeer 7376 0
186 м 74.0 -3 77 "Strong beer" 3280 1
187 "Не указан" 49.0 0 56 Cola 3884 1
188 ж 45.0 3 63 Fanta 477 1
189 "Не указан" 95.0 1 15 Cola 1317 0
190 M 91.0 0 18 Water 3100 1
191 м 94.0 2 18 Water 2945 1
192 Ж 100.0 2 80 Water 6308 1
193 ж 64.0 70688956 80 Fanta 4506 1
194 - 18.0 1 42 Fanta 7124 1
195 "Не указан" 49.0 0 27 Cola 1820 1
196 "Не указан" 82.0 1 73 Beerbeer 2580 1
197 "Не указан" 95.0 2 54 Cola 9412 1
198 - 67.0 0 35 "Strong beer" 8454 1
199 ж 73.0 3 21 Cola 4166 1
200 "Не указан" 26.0 1 70 Fanta 9752 0
201 - 96.0 0 71 Water 4658 1
202 ж 25.0 65039160 14 Fanta 6332 0
203 "Не указан" 24.0 5 53 Water 1586 1
204 - 92.0 5 25 Beerbeer 9315 1
205 ж 86.0 3 15 Cola 3906 1
206 Ж 25.0 1 40 Cola 6793 0
207 м 53.0 5 16 Cola 4641 1
208 - 40.0 0 78 Beerbeer 6627 1
209 "Не указан" 34.0 0 62 Cola 2757 0
210 - 69.0 2 67 "Strong beer" 2372 0
211 Ж 65.0 4 38 Water 4905 0
212 ж 82.0 5 34 Bugbeer 4056 1
213 M 39.0 5 38 Bugbeer 4111 1
214 м 87.0 2 10 Water 8847 1
215 M  0 43 Fanta 3793 0
216 Ж 96.0 4 14 Fanta 4291 0
217 M 6.0 0 49 Cola 408 1
218 м 89.0 2 35 "Strong beer" 1544 1
219 - 68.0 1 33 Beerbeer 272 1
220 -  4 59 Fanta 2527 1
221 M 45.0 1 48 Beerbeer 992 0
222 - 39.0 3 16 Cola 6314 1
223 м 29.0 43086759 53 Water 5585 1
224 Ж 26.0 4 68 Fanta 5793 1
225 ж 0.0 2 25 Cola 4857 1
226 M 11.0 0 17 Fanta 7784 0
227 "Не указан" 12.0 5 25 Water 3522 1
228 Ж 35.0 5 44 Beerbeer 2023 1
229 Ж 92.0 3 45 Bugbeer 2976 1
230 Ж  3 78 Fanta 7137 0
231 - 80.0 4 77 Cola 4618 1
232 M 35.0 5 24 Fanta 7363 0
233 "Не указан" 13.0 3 67 Beerbeer 8849 0
234 м 61.0 -5 58 Water 885 0
235 M 97.0 1 11 Fanta 7919 1
236 M  4 29 "Strong beer" 1009 1
237 Ж 12.0 4 73 "Strong beer" 6330 0
238 M 89.0 3 62 Cola 5801 0
239 - 15.0 3 73 Fanta 6447 0
240 м 48.0 -6 44 "Strong beer" 1770 1
241 - 37.0 5 52 Bugbeer 2992 1
242 Ж 7.0 0 32 Beerbeer 155 0
243 "Не указан" 99.0 1 75 "Strong beer" 5213 1
244 ж 25.0 4 54 Water 6272 1
245 M 98.0 1 64 Fanta 4556 1
246 - 65.0 0 44 Beerbeer 5339 0
247 м 44.0 4 36 Bugbeer 5020 1
248 м 27.0 5 21 Cola 1470 1
249 M 74.0 1 69 Water 18 0
250 "Не указан" 78.0 2 68 Bugbeer 4093 0
251 "Не указан" 18.0 2 71 Fanta 8389 0
252 "Не указан" 56.0 3 61 Beerbeer 4136 1
253 "Не указан" 19.0 2 75 Cola 3338 0
254 "Не указан" 68.0 4 16 Fanta 1156 1
255 - 59.0 3 21 Water 8406 1
256 - 93.0 1 43 Bugbeer 5698 1
257 M 77.0 4 66 Water 6780 0
258 "Не указан" 32.0 -4 14 Fanta 2564 1
259 Ж 81.0 0 34 "Strong beer" 1976 0
260 "Не указан" 9.0 0 24 Bugbeer 9466 1
261 Ж 34.0 84042772 11 Fanta 2362 0
262 "Не указан" 44.0 2 67 Bugbeer 715 0
263 Ж 73.0 1 70 "Strong beer" 9553 0
264 ж 90.0 0 17 Cola 1968 0
265 ж 100.0 0 65 Bugbeer 5045 0
266 M 57.0 1 76 Bugbeer 8133 0
267 ж 66.0 4 24 Cola 4187 1
268 Ж 46.0 17763668 42 "Strong beer" 7029 1
269 "Не указан" 54.0 0 74 "Strong beer" 8717 1
270 Ж 29.0 5 41 Water 7399 0
271 Ж 35.0 3 12 Water 1938 0
272 Ж 10.0 3 30 Beerbeer 8740 0
273 Ж 15.0 2 42 Water 8267 1
274 M 5.0 4 27 Bugbeer 4578 1
275 ж 29.0 0 55 Fanta 5286 1
276 ж 4.0 -6 76 Beerbeer 9086 1
277 M 92.0 4 39 Bugbeer 7892 1
278 м  0 58 Fanta 401 0
279 м 17.0 4 22 Beerbeer 800 1
280 M 81.0 3 51 "Strong beer" 8690 1
281 "Не указан" 45.0 0 31 Cola 4270 0
282 M 70.0 0 25 Fanta 6274 1
283 Ж 43.0 2 57 Water 5460 0
284 м 19.0 3 55 Water 6313 1
285 M 56.0 1 71 Beerbeer 5408 1
286 м 16.0 4 14 Cola 6584 0
287 - 67.0 3 71 Cola 3675 0
288 м 89.0 5 31 Bugbeer 9488 1
289 M 18.0 5 48 Fanta 9423 0
290 ж 19.0 4 21 Water 6871 0
291 "Не указан"  -2 60 Bugbeer 472 1
292 - 3.0 1 29 Cola 5782 1
293 Ж 58.0 4 28 Fanta 6121 1
294 Ж 99.0 4 16 Fanta 1207 0
295 ж 55.0 1 79 "Strong beer" 7992 1
296 ж 49.0 2 13 Cola 1503 1
297 Ж 36.0 5 68 Bugbeer 6470 0
298 - 79.0 5 13 Cola 3418 1
299 Ж 26.0 0 43 "Strong beer" 5638 0
300 Ж 23.0 0 12 Water 7486 1
301 M 70.0 4 41 Bugbeer 4734 1
302 м 15.0 3 33 Beerbeer 5195 1
303 M 5.0 5 59 Fanta 6600 1
304 ж 42.0 3 17 Water 9775 0
305 ж 12.0 4 73 Water 4508 1
306 - 35.0 1 77 Water 6450 1
307 - 29.0 -5 54 Water 4490 0
308 M 81.0 4 37 Bugbeer 7270 1
309 м 10.0 3 68 Fanta 7271 0
310 ж 2.0 3 11 Cola 1900 0
311 M 59.0 5 26 Beerbeer 3791 1
312 - 50.0 3 37 Cola 6916 1
313 M 5.0 -3 79 Water 8110 1
314 Ж 68.0 1 66 "Strong beer" 5300 1
315 Ж 88.0 3 70 "Strong beer" 2414 0
316 - 2.0 3 16 Cola 6862 1
317 M  -2 63 Bugbeer 1110 1
318 Ж 3.0 2 54 Water 5496 1
319 ж 7.0 1 15 Fanta 6522 1
320 - 76.0 1 70 Water 3365 0
321 M 82.0 3 54 Water 313 0
322 м 32.0 0 19 Water 7968 1
323 "Не указан" 4.0 5 45 Cola 3487 1
324 Ж 20.0 -3 76 "Strong beer" 7323 1
325 - 46.0 5 13 Fanta 5142 1
326 - 15.0 3 49 Water 1734 0
327 M 5.0 1 75 "Strong beer" 8924 1
328 - 94.0 0 80 Fanta 7045 0
329 - 84.0 -5 19 Water 7151 0
330 - 46.0 1 52 "Strong beer" 6350 0
331 "Не указан" 71.0 1 53 Bugbeer 466 1
332 M 44.0 1 48 Beerbeer 9896 1
333 - 0.0 5 69 Bugbeer 3467 1
334 - 75.0 2 13 Fanta 3635 0
335 M 80.0 1 65 Cola 226 0
336 "Не указан" 58.0 4 71 Bugbeer 4502 0
337 M 96.0 1 80 Water 5958 1
338 ж 81.0 80379308 55 Water 3108 1
339 M 19.0 5 60 Fanta 7800 0
340 м 79.0 0 51 "Strong beer" 8492 1
341 Ж 65.0 1 77 Beerbeer 6082 0
342 - 38.0 3 26 "Strong beer" 7906 0
343 "Не указан" 5.0 19539983 79 Beerbeer 7316 1
344 "Не указан" 14.0 4 12 Fanta 7359 0
345 ж 42.0 52240164 63 Water 9484 0
346 M 93.0 2 73 Water 4805 1
347 ж 8.0 1 61 Water 4216 0
348 ж 59.0 2 78 Bugbeer 4029 1
349 - 0.0 0 40 Water 3480 0
350 Ж 53.0 2 26 Bugbeer 7913 1
351 - 80.0 4 64 Bugbeer 9654 1
352 M 66.0 2 43 "Strong beer" 9573 0
353 м 77.0 1 32 Water 3663 1
354 M 47.0 3 41 "Strong beer" 3358 0
355 ж 23.0 2 46 Beerbeer 3232 1
356 M 37.0 5 57 Cola 8094 1
357 - 24.0 1 26 "Strong beer" 805 1
358 - 35.0 0 23 Bugbeer 3056 1
359 - 17.0 5 53 Water 4967 0
360 -  5 15 Cola 1646 1
361 - 75.0 1 74 Cola 3650 1
362 M 77.0 1 32 Fanta 737 0
363 "Не указан" 62.0 1 33 Cola 404 1
364 "Не указан" 55.0 1 13 Water 8209 1
365 "Не указан" 43.0 4 45 Fanta 6279 0
366 M 80.0 4 78 Bugbeer 1871 0
367 - 80.0 -3 44 "Strong beer" 4615 1
368 Ж 64.0 1 74 Water 8436 1
369 Ж 22.0 5 66 "Strong beer" 4958 1
370 м 81.0 2 31 Water 2436 1
371 ж 62.0 0 56 Fanta 5787 1
372 M 44.0 3 63 "Strong beer" 1567 1
373 M 42.0 -2 30 Cola 3554 1
374 "Не указан" 76.0 -4 11 Water 7897 0
375 ж 81.0 4 29 Bugbeer 9438 1
376 м 22.0 36123700 66 Bugbeer 6512 1
377 "Не указан" 3.0 0 65 Cola 2791 0
378 "Не указан" 30.0 5 45 Fanta 894 1
379 "Не указан" 12.0 3 63 Cola 228 1
380 "Не указан" 67.0 2 16 Cola 8646 0
381 M 59.0 2 22 "Strong beer" 8365 0
382 ж 98.0 -3 41 Bugbeer 5971 0
383 "Не указан" 95.0 4 21 Beerbeer 1015 1
384 -  4 70 Cola 1129 1
385 "Не указан" 66.0 1 19 Fanta 8354 1
386 "Не указан"  1 24 Bugbeer 1773 0
387 "Не указан" 12.0 3 11 Water 3688 1
388 "Не указан" 24.0 2 76 Bugbeer 2185 1
389 ж 46.0 1 76 "Strong beer" 9477 0
390 м 10.0 86577296 31 Fanta 8320 0
